Country,Salesperson,Order Date,OrderID,Order Amount
UK,Suyama,7/10/2003,10249,"$1,863.40 "
USA,Peacock,7/11/2003,10252,"$3,597.90 "
USA,Peacock,7/12/2003,10250,"$1,552.60 "
UK,Dodsworth,7/15/2003,10255,"$2,490.50 "
USA,Leverling,7/15/2003,10251,$654.06 
UK,Buchanan,7/16/2003,10248,$440.00 
USA,Leverling,7/16/2003,10253,"$1,444.80 "
USA,Leverling,7/17/2003,10256,$517.80 
USA,Peacock,7/22/2003,10257,"$1,119.90 "
UK,Buchanan,7/23/2003,10254,$556.62 
USA,Davolio,7/23/2003,10258,"$1,614.88 "
USA,Callahan,7/25/2003,10262,$584.00 
USA,Peacock,7/25/2003,10259,$100.80 
USA,Peacock,7/29/2003,10260,"$1,504.65 "
USA,Peacock,7/30/2003,10261,$448.00 
UK,Dodsworth,7/31/2003,10263,"$1,873.80 "
USA,Leverling,7/31/2003,10266,$346.56 
USA,Callahan,8/2/2003,10268,"$1,101.20 "
USA,Davolio,8/2/2003,10270,"$1,376.00 "
USA,Peacock,8/6/2003,10267,"$3,536.60 "
UK,Suyama,8/6/2003,10272,"$1,456.00 "
UK,Buchanan,8/9/2003,10269,$642.20 
USA,Davolio,8/9/2003,10275,$291.84 
USA,Fuller,8/12/2003,10265,"$1,176.00 "
USA,Leverling,8/12/2003,10273,"$2,037.28 "
USA,Fuller,8/13/2003,10277,"$1,200.80 "
USA,Callahan,8/14/2003,10276,$420.00 
USA,Callahan,8/16/2003,10278,"$1,488.80 "
USA,Callahan,8/16/2003,10279,$351.00 
UK,Suyama,8/16/2003,10274,$538.60 
USA,Peacock,8/21/2003,10281,$86.50 
USA,Peacock,8/21/2003,10282,$155.40 
USA,Leverling,8/23/2003,10283,"$1,414.80 "
UK,Suyama,8/23/2003,10264,$695.62 
USA,Davolio,8/26/2003,10285,"$1,743.36 "
USA,Peacock,8/27/2003,10284,"$1,170.37 "
USA,Callahan,8/28/2003,10287,$819.00 
UK,King,8/28/2003,10289,$479.40 
USA,Callahan,8/30/2003,10286,"$3,016.00 "
UK,Suyama,8/30/2003,10271,$48.00 
USA,Davolio,9/2/2003,10292,"$1,296.00 "
USA,Callahan,9/3/2003,10290,"$2,169.00 "
USA,Peacock,9/3/2003,10288,$80.10 
UK,Suyama,9/4/2003,10291,$497.52 
USA,Peacock,9/5/2003,10294,"$1,887.60 "
UK,Buchanan,9/10/2003,10297,"$1,420.00 "
USA,Fuller,9/10/2003,10295,$121.60 
USA,Davolio,9/11/2003,10293,$848.70 
UK,Suyama,9/11/2003,10296,"$1,050.60 "
UK,Suyama,9/11/2003,10298,"$2,645.00 "
USA,Fuller,9/12/2003,10280,$613.20 
USA,Peacock,9/13/2003,10299,$349.50 
USA,Callahan,9/17/2003,10301,$755.00 
USA,Davolio,9/17/2003,10304,$954.40 
USA,Fuller,9/18/2003,10300,$608.00 
UK,King,9/18/2003,10303,"$1,117.80 "
USA,Davolio,9/23/2003,10306,$498.50 
UK,King,9/24/2003,10308,$88.80 
USA,Fuller,9/25/2003,10307,$424.00 
USA,Davolio,9/26/2003,10311,$268.80 
USA,Callahan,9/27/2003,10310,$336.00 
USA,Fuller,10/3/2003,10312,"$1,614.80 "
USA,Peacock,10/3/2003,10315,$516.80 
USA,Callahan,10/4/2003,10318,$240.40 
USA,Davolio,10/4/2003,10314,"$2,094.30 "
USA,Fuller,10/4/2003,10313,$182.40 
USA,Davolio,10/8/2003,10316,"$2,835.00 "
USA,Callahan,10/9/2003,10305,"$3,741.30 "
USA,Peacock,10/9/2003,10302,"$2,708.80 "
UK,Dodsworth,10/10/2003,10324,"$5,275.71 "
UK,Suyama,10/10/2003,10317,$288.00 
UK,King,10/11/2003,10319,"$1,191.20 "
USA,Leverling,10/11/2003,10321,$144.00 
USA,Davolio,10/14/2003,10325,"$1,497.00 "
USA,Fuller,10/14/2003,10327,"$1,810.00 "
USA,Peacock,10/14/2003,10323,$164.40 
USA,Peacock,10/14/2003,10326,$982.00 
USA,Peacock,10/17/2003,10328,"$1,168.00 "
UK,Buchanan,10/18/2003,10320,$516.00 
UK,Dodsworth,10/21/2003,10331,$88.50 
USA,Leverling,10/21/2003,10332,"$1,786.88 "
UK,King,10/23/2003,10322,$112.00 
USA,Leverling,10/23/2003,10309,"$1,762.00 "
USA,Peacock,10/23/2003,10329,"$4,578.43 "
UK,King,10/24/2003,10335,"$2,036.16 "
UK,Buchanan,10/25/2003,10333,$877.20 
UK,King,10/25/2003,10336,$285.12 
USA,Callahan,10/28/2003,10334,$144.80 
USA,Leverling,10/28/2003,10330,"$1,649.00 "
USA,Peacock,10/29/2003,10337,"$2,467.00 "
USA,Peacock,10/29/2003,10338,$934.50 
USA,Fuller,11/4/2003,10339,"$3,354.00 "
USA,Peacock,11/4/2003,10342,"$1,840.64 "
UK,King,11/5/2003,10341,$352.60 
USA,Peacock,11/5/2003,10344,"$2,296.00 "
USA,Peacock,11/6/2003,10343,"$1,584.00 "
USA,Davolio,11/8/2003,10340,"$2,436.18 "
USA,Leverling,11/8/2003,10346,"$1,618.88 "
USA,Peacock,11/8/2003,10347,$814.42 
USA,Fuller,11/11/2003,10345,"$2,924.80 "
UK,King,11/15/2003,10349,$141.60 
USA,Peacock,11/15/2003,10348,$363.60 
USA,Leverling,11/18/2003,10352,$136.30 
USA,Callahan,11/20/2003,10354,$568.80 
USA,Davolio,11/20/2003,10351,"$5,398.72 "
UK,Suyama,11/20/2003,10355,$480.00 
UK,King,11/25/2003,10353,"$8,593.28 "
UK,Buchanan,11/26/2003,10359,"$3,471.68 "
UK,Buchanan,11/27/2003,10358,$429.40 
UK,Suyama,11/27/2003,10356,"$1,106.40 "
